title,view,timeline,youtuber,genre,thumbnail
한혜진 스타일 보고 기절하는 정혁(2022 가을패션 / 댓글이벤트),640000,4주 전,한혜진 Han Hye Jin,패션,https://i.ytimg.com/vi/-VX_vwLCB40/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABwkktVqlB4EH9Pp7lzgN2oZ3b7w
제2의 전성기 📈 한동안 주춤했다가 최근 다시 떡상한 패션 아이템,640000,1개월 전,옆집언니 최실장 stylist unnie,패션,https://i.ytimg.com/vi/qW0isCiWsCc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAW-GBkmgtHwtWbSQbEnOVBvGlIBA
[#유퀴즈온더블럭] 세계를 사로잡은 패션 디자이너🧥✨ 한국 패션의 품격을 높인 우영미 자기님의 파리 진출기 | #Diggle #갓구운클립,630000,11개월 전,tvN D ENT,패션,https://i.ytimg.com/vi/SDgj5vGWquw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCw3hAuzscG7VgTGZhU-89KP98DxA
"MBN 뉴스파이터-'저가 패션' 즐기던 김건희 여사, 명품 액세서리 화제",610000,4개월 전,MBN News,패션,https://i.ytimg.com/vi/uyU6qJkFvkc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6h0u7sWoAmgikzeJgtDTtY8ia6w
사면 평생 쓴다! 남자들이 가을에 가장 먼저 사야하는 옷들,610000,2개월 전,깡스타일리스트,패션,https://i.ytimg.com/vi/EqODV8ZC74U/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2nAFtejzsYDohGn3F8u4K7TVXJA
(ENG) 민혁 현식 결혼식에 창섭이 축가하고 은광이 알래스카를 간다고😲 비투비 세계관과 패션의 대통합 | 배달의 프로들2 ep.02,590000,1개월 전,"세상이 사랑하는 패션, 세사패TV",패션,https://i.ytimg.com/vi/75gNWLES3kM/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBgWWlBlgcfW6Q-S-X8VKkzHYV9eA
🧥 배우자가 골라준 옷 입어보는 패션 쇼핑 하울,590000,3개월 전,해쭈 [HAEJOO],패션,https://i.ytimg.com/vi/EcvUinxOvWI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTTzybJidU5MUyNh6p7Rp8retDtA
귀티나는 사람들은 이건 꼭 있더라..! 명품없이 귀티나는 아이템✔︎,580000,3개월 전,AliceFunk 앨리스펑크,패션,https://i.ytimg.com/vi/g6zi3Xf-pOs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC8npfhdgDbAW4WC4VrMCgvkJXtCA
런던의 스트리트 패션. 가을을 위한 스타일리시한 옷.,590000,1개월 전,Natasha Faterina - street fashion in London.,패션,https://i.ytimg.com/vi/qJxNjHxss44/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZEpqLk-zbCC9zetvd6Ad9dRkiTQ
'육상 여신' 김민지 사복 패션은 처음이지? 트와이스 다현 실물 영접+육상 아이돌 수식어에 대한 생각까지! [인터뷰],560000,1개월 전,데일리런(DailyRun),패션,https://i.ytimg.com/vi/GFFHg3uHQVQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAt4_uOlaspDOJcVkf_3yZCWvh3rw
