title,view,timeline,youtuber,genre,thumbnail
인싸 브이로그,1200000,3개월 전,강유미 yumi kang좋아서 하는 채널,브이로그,https://i.ytimg.com/vi/Jw6G85qQgPY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDSTxXCt9makEXUV1MXZA7h1bC28g
융-로그 | 부산 출장 브이로그 | 버블 답장 타임💌 | 저는 이렇게 쉬어융😌,1190000,8개월 전,Yoona's So Wonderful Day | 임윤아 오피셜,브이로그,https://i.ytimg.com/vi/iGdKTVNQDeo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBqJuDI0emZNI5WfHabcddO1mSZAA
ENTP의 입시와 연애 그리고 이별 성장일기 | 8kg 빼는 과정 [입시브이로그2],1180000,4주 전,진두부,브이로그,https://i.ytimg.com/vi/A1TXnGF947A/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCEduLbiy-qIjt7766ez0CuUWVQFw
[sub] 🙋🏻‍♀️👏🏻드디어 카페 사장이 됐습니다.👏🏻🙋🏻‍♀️ / 카페 브이로그 / 개인 카페 브이로그 / cafe vlog / asmr / no bgm,1190000,3개월 전,설잉 Seoling,브이로그,https://i.ytimg.com/vi/oCStkA_xcrg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7bYxbIb7E4C8kleB9HL5Bu72QsA
🧘🏻‍♀️리리코 브이로그 시작 합니다…,1160000,1개월 전,너튜브 Neotube,브이로그,https://i.ytimg.com/vi/ZKiWprXep6Y/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDc_Tk7jNamBCQir0xydoKK2lISEw
"[복학생 vlog] 연애 15일차💕 롯데월드 데이트 브이로그(교복 데이트, 잠실 맛집, 커플 타투, 지글지글 챌린지, 연상연하커플, 삥뜯기 팁, ptsd, 스킨십 노하우)",1160000,5개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/iqRS9nDQzLA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD8r-zq1zjjD_bkWfodsZV1rBhiaw
단 하나도 버릴게 없어...! 일상을 엮어 만든 브이로그 모음집.zip,1120000,9개월 전,해쭈 [HAEJOO],브이로그,https://i.ytimg.com/vi/e2TXYZJFay8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDHRCRbz30yLyBCRII_gmSGSt44A
"[복학생vlog] 이별 45일차❤️‍🩹 환승연애 3 준비하는 브이로그 (지원영상, 미라클 모닝, 기적의 수면법, 그릭요거트, 카페 번따, 얼짱 남메기, X 데이트)",1110000,1개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/vidZjfjFfiA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEllRyOGNnq-sgumtPoPE1UXSKzQ
"[복학생 vlog] 컨닝으로 과탑찍는 브이로그 (간식행사, 학생회비, 아침에주스, 우리들의 블루스, 제주 사투리 꿀팁, 교수님에게 이쁨받는 법, mbti 유형별 시험성적)",1090000,6개월 전,빠더너스 BDNS,브이로그,https://i.ytimg.com/vi/2y6t7c7E2aY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCbhgJzNXnjjkSi6Bv0pPzhyXyMGg
vlog * 피시방 알바 브이로그 | 오해하지마 여기 평일오전파트야..💬,1080000,8개월 전,도민이,브이로그,https://i.ytimg.com/vi/Pdq461F5BlI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD11oVP-ZVwaQr8qWeq4G4Gswxi4w
